"year","age","gender","race","education","south","income","party_id","interest","gov_trust","abortion","dem_thermometer","rep_thermometer"
2012,33,2,1,6,1,4,2,3,NA,4,60,40
2012,74,2,2,1,1,1,1,3,NA,2,60,50
2012,66,2,1,3,1,1,2,3,3,4,85,60
2012,50,1,1,3,1,3,1,3,2,4,85,60
2012,28,1,1,9,1,2,2,2,NA,4,85,0
2012,65,2,1,6,1,2,5,3,NA,4,50,50
2012,78,1,1,5,1,3,1,3,NA,4,70,0
2012,75,1,1,6,1,3,3,3,NA,3,85,30
2012,73,1,3,1,1,1,1,2,NA,4,97,0
2012,62,1,1,3,1,3,2,3,NA,3,50,50
2012,71,1,1,3,1,2,7,3,NA,4,50,60
2012,84,1,1,6,1,3,2,3,NA,4,70,30
2012,52,2,1,5,1,1,3,3,NA,3,50,50
2012,52,2,3,3,1,3,1,2,NA,4,70,15
2012,24,1,3,3,1,3,4,2,3,2,70,50
2012,34,2,1,5,1,3,5,2,NA,4,50,50
2012,78,1,1,6,1,4,1,3,NA,1,85,40
2012,41,2,1,5,1,3,3,3,2,4,70,15
2012,47,2,3,6,1,3,1,3,3,4,97,30
2012,20,2,3,5,1,3,4,3,1,3,85,50
2012,41,2,1,6,1,0,3,2,NA,3,60,30
2012,36,2,1,4,1,3,4,2,2,4,50,50
2012,84,2,1,3,1,2,5,3,NA,2,40,50
2012,27,2,2,2,1,2,1,2,NA,2,85,50
2012,41,2,2,5,1,3,3,3,2,4,85,40
2012,42,1,3,5,1,4,5,3,2,4,30,70
2012,33,1,1,3,1,4,5,2,2,4,60,70
2012,56,1,1,6,1,4,1,2,3,4,70,50
2012,35,1,1,3,1,3,5,2,2,4,30,60
2012,36,2,1,6,1,3,6,2,2,3,60,40
2012,41,1,1,5,1,3,6,2,NA,3,60,85
2012,56,2,2,6,1,3,1,3,NA,4,60,50
2012,53,1,3,5,1,4,6,2,NA,2,60,85
2012,25,2,2,4,2,2,1,3,2,2,97,40
2012,32,2,3,5,2,3,2,2,NA,4,70,0
2012,37,2,2,6,2,2,1,3,2,3,97,15
2012,45,1,3,1,2,3,2,3,2,4,70,50
2012,34,2,1,5,2,3,7,2,2,1,30,85
2012,33,2,1,6,2,3,7,2,2,2,40,70
2012,55,2,1,1,2,1,4,3,2,2,50,50
2012,62,1,1,3,2,1,4,2,NA,4,70,60
2012,64,2,1,2,2,1,2,2,2,2,60,50
2012,54,2,1,5,2,2,1,3,2,4,85,30
2012,28,2,1,2,2,0,4,2,2,3,50,50
2012,71,1,1,5,2,3,2,3,2,4,85,15
2012,41,2,1,2,2,3,3,2,2,2,98,98
2012,31,2,1,3,2,4,4,3,2,4,50,50
2012,72,2,1,3,2,0,2,3,NA,2,70,40
2012,28,1,1,6,2,0,0,3,2,1,65,65
2012,46,2,3,1,2,1,2,3,NA,2,50,0
2012,32,1,1,4,2,4,3,3,NA,1,60,40
2012,69,2,1,6,2,3,5,2,NA,1,15,60
2012,24,2,3,3,2,1,4,3,3,3,0,0
2012,37,1,1,6,2,4,6,3,2,4,50,60
2012,42,1,1,3,2,4,1,3,2,4,55,0
2012,20,1,3,2,2,3,3,3,NA,4,50,50
2012,76,1,1,6,2,3,7,2,2,2,0,97
2012,0,1,1,6,2,5,5,3,2,4,25,25
2012,73,2,1,6,2,3,7,3,NA,1,15,85
2012,58,1,1,6,2,5,6,3,NA,3,50,60
2012,56,2,1,5,2,5,6,2,2,2,50,70
2012,64,1,1,5,2,4,5,3,3,4,40,85
2012,23,1,1,5,2,4,1,3,2,4,90,2
2012,19,2,1,3,2,3,3,2,2,4,60,70
2012,51,2,1,6,2,4,5,3,3,4,70,60
2012,82,1,1,6,2,3,3,2,NA,2,50,50
2012,58,1,1,6,2,4,7,3,2,4,40,70
2012,18,1,3,3,2,3,6,3,2,4,40,60
2012,44,2,1,3,2,4,3,3,NA,3,60,60
2012,51,2,1,5,2,4,5,2,NA,4,30,40
2012,50,1,1,3,2,4,4,2,NA,4,50,60
2012,55,1,1,6,2,1,2,3,NA,3,60,15
2012,69,1,1,3,2,3,2,2,2,3,85,40
2012,53,1,1,6,2,4,6,3,3,4,60,70
2012,43,2,1,3,2,5,5,2,3,4,70,60
2012,63,2,1,3,2,2,1,3,2,4,70,30
2012,46,2,1,5,2,4,5,2,NA,4,40,60
2012,33,2,1,6,2,3,2,3,NA,4,70,60
2012,33,1,1,5,2,3,0,3,NA,4,60,60
2012,56,1,1,3,2,2,5,2,1,4,40,30
2012,36,1,1,5,2,4,1,3,NA,3,85,60
2012,26,2,3,2,2,1,2,3,NA,3,15,85
2012,22,1,1,5,2,1,1,3,3,4,70,40
2012,36,2,2,5,2,3,3,3,NA,4,85,15
2012,53,1,1,6,2,3,3,2,2,4,50,50
2012,22,2,1,6,2,1,6,2,NA,2,40,60
2012,32,2,1,6,2,3,6,3,NA,2,30,60
2012,51,2,3,5,2,1,7,3,NA,3,0,97
2012,24,2,2,2,2,1,4,3,NA,4,50,50
2012,22,2,1,5,2,1,5,2,2,4,50,50
2012,43,1,1,3,2,1,5,2,3,1,60,70
2012,22,2,1,5,1,1,3,2,2,4,60,15
2012,25,1,1,6,1,1,4,3,1,2,0,30
2012,21,1,1,5,1,1,3,2,NA,2,70,50
2012,25,1,1,6,1,2,6,2,2,2,40,40
2012,32,1,1,6,1,2,1,3,NA,4,70,30
2012,35,2,1,6,1,3,5,3,NA,2,40,60
2012,31,1,1,6,1,2,3,2,3,4,70,40
2012,39,1,3,6,2,4,4,3,3,2,85,70
2012,47,2,3,2,2,3,4,3,1,2,50,50
2012,57,1,2,3,2,1,1,3,NA,4,70,0
2012,22,2,1,3,2,1,5,2,2,2,50,50
2012,53,2,1,5,2,3,2,2,3,4,60,50
2012,32,1,1,6,2,4,6,3,2,4,30,40
2012,70,1,1,6,2,4,7,3,3,3,15,70
2012,40,2,1,5,2,3,2,3,NA,4,70,30
2012,51,2,1,3,2,2,3,2,NA,3,50,50
